epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
332.0,12.0,145.0,12000.0,10000.0,68.965515,30.0,30.0,0.06693008,0.01,0.05,,,
495.0,192.0,401.0,24000.0,20000.0,49.875313,200.0,115.0,0.32854062,0.01,0.05,,,
557.0,177.0,652.0,36000.0,30000.0,46.012268,200.0,143.33333,0.47933102,0.01,0.05,,,
624.0,49.0,901.0,48000.0,40000.0,44.395115,187.0,154.25,0.124208115,0.01,0.05,,,
688.0,67.0,1155.0,60000.0,50000.0,43.290043,200.0,163.4,0.27214885,0.01,0.05,,,
745.0,62.0,1414.0,72000.0,60000.0,42.432816,200.0,169.5,0.22703469,0.01,0.05,,,
804.0,46.0,1680.0,84000.0,70000.0,41.666668,200.0,173.85715,0.13064149,0.01,0.05,,,
868.0,37.0,1936.0,96000.0,80000.0,41.322315,200.0,177.125,0.011706569,0.01,0.05,,,
942.0,52.0,2223.0,108000.0,90000.0,40.48583,142.0,173.22223,0.15313163,0.01,0.05,,,
1007.0,63.0,2465.0,120000.0,100000.0,40.56795,200.0,175.9,0.1231483,0.01,0.05,,,
