epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
91.0,6.0,109.0,38720.0,1000.0,9.174312,8.0,8.0,21.57743,0.009003,3.875,,,
182.0,6.0,217.0,78720.0,2000.0,9.21659,10.0,9.0,23.25159,0.008003,2.75,,,
273.0,7.0,325.0,118720.0,3000.0,9.230769,9.0,9.0,32.260845,0.007003,1.625,,,
364.0,6.0,433.0,158720.0,4000.0,9.237875,9.0,9.0,16.261038,0.006003,0.5,,,
457.0,4.0,541.0,198720.0,5000.0,9.242145,9.0,9.0,49.43839,0.005003,0.5,,,
548.0,4.0,648.0,238720.0,6000.0,9.259259,10.0,9.166667,12.971726,0.004003,0.5,,,
639.0,3.0,756.0,278720.0,7000.0,9.259259,10.0,9.285714,21.624195,0.003003,0.5,,,
730.0,2.0,864.0,318720.0,8000.0,9.259259,10.0,9.375,20.724972,0.002003,0.5,,,
821.0,1.0,972.0,358720.0,9000.0,9.259259,10.0,9.444445,8.126275,0.001003,0.5,,,
911.0,11.0,1080.0,398720.0,10000.0,9.259259,10.0,9.5,16.020716,3e-06,0.5,,,
