epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.001,1.0,,,
551.0,7.0,1841.0,12000.0,10000.0,5.4318304,52.0,52.0,0.032089893,0.001,0.05,,,
1170.0,139.0,5400.0,24000.0,20000.0,3.7037036,47.0,49.5,0.2498924,0.001,0.05,,,
1733.0,16.0,8961.0,36000.0,30000.0,3.3478405,24.0,41.0,0.020545011,0.001,0.05,,,
2263.0,27.0,12552.0,48000.0,40000.0,3.1867433,26.0,37.25,0.4337689,0.001,0.05,,,
2781.0,5.0,16191.0,60000.0,50000.0,3.0881355,20.0,33.8,0.13788033,0.001,0.05,,,
3254.0,9.0,19797.0,72000.0,60000.0,3.0307622,13.0,30.333334,0.1996924,0.001,0.05,,,
3886.0,6.0,23395.0,84000.0,70000.0,2.9920924,19.0,28.714285,0.16589475,0.001,0.05,,,
4379.0,48.0,26984.0,96000.0,80000.0,2.9647198,51.0,31.5,0.21790588,0.001,0.05,,,
5008.0,4.0,30571.0,108000.0,90000.0,2.9439664,27.0,31.0,5739.0703,0.001,0.05,,,
5586.0,9.0,34062.0,120000.0,100000.0,2.935823,21.0,30.0,0.058477357,0.001,0.05,,,
