epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,1.0,,,
277.0,85.0,1310.0,12000.0,10000.0,7.633588,63.0,63.0,2.8663282,0.1,0.05,,,
1045.0,18.0,3935.0,24000.0,20000.0,5.082592,9.0,36.0,3.452165,0.1,0.05,,,
1712.0,18.0,6609.0,36000.0,30000.0,4.5392647,17.0,29.666666,7.525254,0.1,0.05,,,
2627.0,1.0,9353.0,48000.0,40000.0,4.276703,11.0,25.0,107.04325,0.1,0.05,,,
3402.0,7.0,12058.0,60000.0,50000.0,4.1466246,37.0,27.4,2.8379748,0.1,0.05,,,
4176.0,14.0,14687.0,72000.0,60000.0,4.0852456,17.0,25.666666,0.38516986,0.1,0.05,,,
4912.0,6.0,17314.0,84000.0,70000.0,4.042971,59.0,30.428572,12.612961,0.1,0.05,,,
5733.0,11.0,20009.0,96000.0,80000.0,3.998201,11.0,28.0,26.469313,0.1,0.05,,,
6376.0,50.0,22678.0,108000.0,90000.0,3.9686038,67.0,32.333332,2.0789883,0.1,0.05,,,
6899.0,4.0,25337.0,120000.0,100000.0,3.9467971,36.0,32.7,25.32239,0.1,0.05,,,
