epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005,1.0,,,
438.0,15.0,1803.0,12000.0,10000.0,5.546312,114.0,114.0,4.424583,0.005,0.05,,,
953.0,118.0,5302.0,24000.0,20000.0,3.7721615,176.0,145.0,1.5507087,0.005,0.05,,,
1450.0,9.0,8814.0,36000.0,30000.0,3.403676,15.0,101.666664,0.17466107,0.005,0.05,,,
1871.0,21.0,12371.0,48000.0,40000.0,3.2333684,22.0,81.75,2.2865863,0.005,0.05,,,
2502.0,21.0,16008.0,60000.0,50000.0,3.1234384,21.0,69.6,86918.33,0.005,0.05,,,
3055.0,19.0,19599.0,72000.0,60000.0,3.0613806,24.0,62.0,1.7703424,0.005,0.05,,,
3591.0,6.0,23189.0,84000.0,70000.0,3.0186727,12.0,54.857143,3.4248738,0.005,0.05,,,
4116.0,14.0,26794.0,96000.0,80000.0,2.985743,14.0,49.75,208335.92,0.005,0.05,,,
4634.0,9.0,30490.0,108000.0,90000.0,2.9517875,11.0,45.444443,0.86709756,0.005,0.05,,,
5134.0,12.0,33980.0,120000.0,100000.0,2.9429076,25.0,43.4,1.1004502,0.005,0.05,,,
