trial,agent.0.net.hid_layers,final_return_ma,strength,max_strength,final_strength,sample_efficiency,training_efficiency,stability,consistency
0,[32],145.81250381469727,123.95248603820801,178.13999938964844,149.38999938964844,0.00029916416679043323,7.659112725377781e-06,0.8999760318547487,0.36382997833012354
1,[64],140.28750228881836,118.42748641967773,178.13999938964844,145.38999938964844,0.00024447342002531514,6.21639253495232e-06,0.9028757754713297,0.36899010264307464
2,"[32, 16]",119.7125015258789,97.85249710083008,165.38999938964844,108.88999938964844,0.0002944474508694839,7.505978373956168e-06,0.9044428998604417,0.22370100736307796
3,"[64, 32]",106.35000038146973,84.4900016784668,166.38999938964844,71.13999938964844,0.0003267318752477877,8.34827824292006e-06,0.7925256323069334,-0.0006910430676012602
