epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
13.0,16.0,951.0,18720.0,500.0,0.5257624,63.0,63.0,12177.634,0.009503,4.4375,,,
21.0,8.0,1788.0,38720.0,1000.0,0.5592841,193.0,128.0,1415.8451,0.009003,3.875,,,
24.0,11.0,2439.0,58720.0,1500.0,0.61500615,194.0,150.0,11547.447,0.008503,3.3125,,,
26.0,111.0,3338.0,78720.0,2000.0,0.59916115,200.0,162.5,281766.12,0.008003,2.75,,,
30.0,19.0,4092.0,98720.0,2500.0,0.6109482,85.0,147.0,1734748.6,0.007503,2.1875,,,
32.0,173.0,4833.0,118720.0,3000.0,0.6207325,177.0,152.0,9999369000.0,0.007003,1.625,,,
37.0,14.0,5656.0,138720.0,3500.0,0.6188119,71.0,140.42857,2238056.2,0.006503,1.0625,,,
41.0,126.0,6311.0,158720.0,4000.0,0.633814,82.0,133.125,5170270700.0,0.006003,0.5,,,
46.0,53.0,6977.0,178720.0,4500.0,0.6449764,75.0,126.666664,18893079000.0,0.005503,0.5,,,
50.0,62.0,7681.0,198720.0,5000.0,0.6509569,150.0,129.0,21535685000.0,0.005003,0.5,,,
54.0,45.0,8569.0,218720.0,5500.0,0.6418485,160.0,131.81818,25137904.0,0.004503,0.5,,,
57.0,74.0,9441.0,238720.0,6000.0,0.6355259,164.0,134.5,515911230.0,0.004003,0.5,,,
61.0,71.0,10308.0,258720.0,6500.0,0.6305782,123.0,133.61539,43008340.0,0.003503,0.5,,,
64.0,103.0,11206.0,278720.0,7000.0,0.6246654,165.0,135.85715,42277528000.0,0.003003,0.5,,,
67.0,161.0,12095.0,298720.0,7500.0,0.62009096,147.0,136.6,103379770.0,0.002503,0.5,,,
71.0,54.0,12974.0,318720.0,8000.0,0.61661786,153.0,137.625,62264290000.0,0.002003,0.5,,,
74.0,37.0,13844.0,338720.0,8500.0,0.6139844,166.0,139.29411,530331260.0,0.001503,0.5,,,
77.0,45.0,14737.0,358720.0,9000.0,0.61070776,175.0,141.27777,76266635000.0,0.001003,0.5,,,
80.0,45.0,15619.0,378720.0,9500.0,0.6082336,172.0,142.89473,87392100000.0,0.000503,0.5,,,
83.0,33.0,16550.0,398720.0,10000.0,0.6042296,167.0,144.1,96045690000.0,3e-06,0.5,,,
