epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
14.0,19.0,994.0,18720.0,500.0,0.5030181,99.0,99.0,11522.175,0.009503,4.4375,,,
19.0,14.0,1872.0,38720.0,1000.0,0.53418803,76.0,87.5,115491.87,0.009003,3.875,,,
24.0,38.0,2691.0,58720.0,1500.0,0.5574136,107.0,94.0,2261383.5,0.008503,3.3125,,,
29.0,82.0,3506.0,78720.0,2000.0,0.57045066,75.0,89.25,50301360.0,0.008003,2.75,,,
35.0,78.0,4316.0,98720.0,2500.0,0.57924,126.0,96.6,477960220.0,0.007503,2.1875,,,
38.0,52.0,5259.0,118720.0,3000.0,0.57045066,155.0,106.333336,224618080.0,0.007003,1.625,,,
40.0,199.0,5973.0,138720.0,3500.0,0.5859702,200.0,119.71429,2841432800.0,0.006503,1.0625,,,
43.0,110.0,6709.0,158720.0,4000.0,0.59621406,189.0,128.375,7539380700.0,0.006003,0.5,,,
47.0,17.0,7411.0,178720.0,4500.0,0.6072055,158.0,131.66667,13813570000.0,0.005503,0.5,,,
50.0,86.0,8286.0,198720.0,5000.0,0.60342747,148.0,133.3,16487190.0,0.005003,0.5,,,
54.0,32.0,9211.0,218720.0,5500.0,0.5971121,135.0,133.45454,21081326.0,0.004503,0.5,,,
57.0,101.0,10175.0,238720.0,6000.0,0.5896806,139.0,133.91667,38840320000.0,0.004003,0.5,,,
61.0,144.0,11111.0,258720.0,6500.0,0.5850059,132.0,133.76923,136736220000.0,0.003503,0.5,,,
65.0,77.0,12063.0,278720.0,7000.0,0.5802868,136.0,133.92857,62285120.0,0.003003,0.5,,,
68.0,135.0,13029.0,298720.0,7500.0,0.57563895,147.0,134.8,59310944.0,0.002503,0.5,,,
72.0,59.0,14005.0,318720.0,8000.0,0.5712246,147.0,135.5625,139833900000.0,0.002003,0.5,,,
75.0,112.0,14963.0,338720.0,8500.0,0.5680679,143.0,136.0,73156296.0,0.001503,0.5,,,
78.0,150.0,15929.0,358720.0,9000.0,0.5650072,156.0,137.11111,66357204.0,0.001003,0.5,,,
82.0,27.0,16857.0,378720.0,9500.0,0.5635641,161.0,138.36842,60683788.0,0.000503,0.5,,,
85.0,73.0,17534.0,398720.0,10000.0,0.57032055,147.0,138.8,145833530000.0,3e-06,0.5,,,
