epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
11.0,79.0,994.0,18720.0,500.0,0.5030181,80.0,80.0,77.986496,0.009503,4.4375,,,
16.0,41.0,1876.0,38720.0,1000.0,0.53304905,96.0,88.0,115.20982,0.009003,3.875,,,
40.0,1.0,2710.0,58720.0,1500.0,0.55350554,38.0,71.333336,125083.78,0.008503,3.3125,,,
47.0,74.0,3512.0,78720.0,2000.0,0.56947607,71.0,71.25,9562.501,0.008003,2.75,,,
52.0,69.0,4309.0,98720.0,2500.0,0.580181,200.0,97.0,350811.75,0.007503,2.1875,,,
55.0,185.0,5253.0,118720.0,3000.0,0.5711022,141.0,104.333336,8125634.5,0.007003,1.625,,,
80.0,4.0,5966.0,138720.0,3500.0,0.5866577,15.0,91.57143,10780358.0,0.006503,1.0625,,,
86.0,38.0,6697.0,158720.0,4000.0,0.59728235,71.0,89.0,16650868.0,0.006003,0.5,,,
94.0,18.0,7407.0,178720.0,4500.0,0.6075334,72.0,87.111115,4871606.5,0.005503,0.5,,,
99.0,90.0,8273.0,198720.0,5000.0,0.60437566,105.0,88.9,814442400.0,0.005003,0.5,,,
103.0,45.0,9192.0,218720.0,5500.0,0.5983464,173.0,96.545456,7216677.5,0.004503,0.5,,,
105.0,158.0,10129.0,238720.0,6000.0,0.5923586,197.0,104.916664,214676580.0,0.004003,0.5,,,
108.0,106.0,11046.0,258720.0,6500.0,0.5884483,200.0,112.23077,1447969000.0,0.003503,0.5,,,
111.0,6.0,11991.0,278720.0,7000.0,0.58377117,200.0,118.5,1615147300.0,0.003003,0.5,,,
113.0,106.0,12913.0,298720.0,7500.0,0.58081,200.0,123.933334,46845656.0,0.002503,0.5,,,
116.0,6.0,13840.0,318720.0,8000.0,0.5780347,200.0,128.6875,5398116000.0,0.002003,0.5,,,
118.0,106.0,14777.0,338720.0,8500.0,0.57521826,200.0,132.88235,102542380.0,0.001503,0.5,,,
121.0,6.0,15738.0,358720.0,9000.0,0.5718643,200.0,136.61111,3128330800.0,0.001003,0.5,,,
123.0,106.0,16678.0,378720.0,9500.0,0.5696127,200.0,139.94737,54562630.0,0.000503,0.5,,,
126.0,6.0,17398.0,398720.0,10000.0,0.57477874,200.0,142.95,32822644.0,3e-06,0.5,,,
