epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
17.0,69.0,985.0,18720.0,500.0,0.5076142,88.0,88.0,316.45892,0.009503,4.4375,,,
27.0,36.0,1870.0,38720.0,1000.0,0.53475934,91.0,89.5,84355.32,0.009003,3.875,,,
33.0,56.0,2675.0,58720.0,1500.0,0.5607477,55.0,78.0,8386495.0,0.008503,3.3125,,,
40.0,57.0,3486.0,78720.0,2000.0,0.5737235,93.0,81.75,1708153.0,0.008003,2.75,,,
44.0,120.0,4281.0,98720.0,2500.0,0.58397573,121.0,89.6,676124.1,0.007503,2.1875,,,
48.0,33.0,5202.0,118720.0,3000.0,0.5767013,185.0,105.5,286380100.0,0.007003,1.625,,,
50.0,133.0,5920.0,138720.0,3500.0,0.5912162,200.0,119.0,183760110.0,0.006503,1.0625,,,
53.0,33.0,6639.0,158720.0,4000.0,0.6025004,200.0,129.125,862482050.0,0.006003,0.5,,,
56.0,48.0,7346.0,178720.0,4500.0,0.6125783,152.0,131.66667,1527459700.0,0.005503,0.5,,,
60.0,14.0,8197.0,198720.0,5000.0,0.6099793,130.0,131.5,3998125000.0,0.005003,0.5,,,
63.0,96.0,9100.0,218720.0,5500.0,0.6043956,144.0,132.63637,8318593.0,0.004503,0.5,,,
67.0,23.0,10034.0,238720.0,6000.0,0.5979669,144.0,133.58333,22640347000.0,0.004003,0.5,,,
70.0,93.0,10955.0,258720.0,6500.0,0.5933364,154.0,135.15384,9918779000.0,0.003503,0.5,,,
74.0,26.0,11890.0,278720.0,7000.0,0.58873004,144.0,135.78572,3147207400.0,0.003003,0.5,,,
77.0,87.0,12809.0,298720.0,7500.0,0.5855258,126.0,135.13333,1063553700.0,0.002503,0.5,,,
81.0,30.0,13728.0,318720.0,8000.0,0.58275056,146.0,135.8125,25266020000.0,0.002003,0.5,,,
84.0,96.0,14663.0,338720.0,8500.0,0.5796904,151.0,136.70589,41613460000.0,0.001503,0.5,,,
88.0,55.0,15613.0,358720.0,9000.0,0.5764427,143.0,137.05556,16915212.0,0.001003,0.5,,,
92.0,1.0,16550.0,378720.0,9500.0,0.5740181,131.0,136.73685,24122755000.0,0.000503,0.5,,,
95.0,86.0,17332.0,398720.0,10000.0,0.5769675,144.0,137.1,13642396.0,3e-06,0.5,,,
