epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
9.0,25.0,997.0,18720.0,500.0,0.50150454,25.0,25.0,104421.71,0.009503,4.4375,,,
22.0,8.0,1876.0,38720.0,1000.0,0.53304905,80.0,52.5,83769576.0,0.009003,3.875,,,
25.0,35.0,2707.0,58720.0,1500.0,0.55411893,145.0,83.333336,1927392300.0,0.008503,3.3125,,,
28.0,57.0,3532.0,78720.0,2000.0,0.5662514,163.0,103.25,55456350000.0,0.008003,2.75,,,
31.0,117.0,4341.0,98720.0,2500.0,0.5759042,155.0,113.6,4717135400.0,0.007503,2.1875,,,
35.0,57.0,5290.0,118720.0,3000.0,0.56710774,137.0,117.5,5451272000.0,0.007003,1.625,,,
39.0,16.0,6014.0,138720.0,3500.0,0.5819754,123.0,118.28571,34649932000000.0,0.006503,1.0625,,,
42.0,117.0,6753.0,158720.0,4000.0,0.5923293,125.0,119.125,23254308000000.0,0.006003,0.5,,,
47.0,9.0,7482.0,178720.0,4500.0,0.60144347,89.0,115.77778,42879476000.0,0.005503,0.5,,,
51.0,74.0,8574.0,198720.0,5000.0,0.5831584,126.0,116.8,82380100000.0,0.005003,0.5,,,
55.0,81.0,9723.0,218720.0,5500.0,0.56566906,124.0,117.454544,293831360000000.0,0.004503,0.5,,,
59.0,77.0,10804.0,238720.0,6000.0,0.5553499,129.0,118.416664,209392880000.0,0.004003,0.5,,,
63.0,72.0,11898.0,258720.0,6500.0,0.5463103,123.0,118.76923,22259566000000.0,0.003503,0.5,,,
67.0,83.0,13016.0,278720.0,7000.0,0.53779966,124.0,119.14286,2828260700000000.0,0.003003,0.5,,,
71.0,84.0,14155.0,298720.0,7500.0,0.5298481,130.0,119.86667,701944370000.0,0.002503,0.5,,,
75.0,71.0,15224.0,318720.0,8000.0,0.52548605,126.0,120.25,3410975800000000.0,0.002003,0.5,,,
79.0,72.0,16292.0,338720.0,8500.0,0.52172846,125.0,120.52941,648340200000.0,0.001503,0.5,,,
83.0,79.0,17302.0,358720.0,9000.0,0.5201711,110.0,119.94444,75146410000000.0,0.001003,0.5,,,
87.0,95.0,17849.0,378720.0,9500.0,0.5322427,119.0,119.89474,8942127300000000.0,0.000503,0.5,,,
91.0,109.0,18283.0,398720.0,10000.0,0.5469562,127.0,120.25,1384791800000.0,3e-06,0.5,,,
