epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
17.0,2.0,920.0,18720.0,500.0,0.54347825,49.0,49.0,717198.44,0.009503,4.4375,,,
30.0,4.0,1914.0,38720.0,1000.0,0.52246606,17.0,33.0,54493064.0,0.009003,3.875,,,
37.0,28.0,2883.0,58720.0,1500.0,0.5202914,93.0,53.0,1797220400.0,0.008503,3.3125,,,
41.0,96.0,3879.0,78720.0,2000.0,0.5155968,200.0,89.75,126778220000.0,0.008003,2.75,,,
47.0,14.0,4866.0,98720.0,2500.0,0.51376903,127.0,97.2,2180454700000.0,0.007503,2.1875,,,
57.0,17.0,5841.0,118720.0,3000.0,0.51361066,42.0,88.0,371766430000.0,0.007003,1.625,,,
66.0,32.0,6852.0,138720.0,3500.0,0.51079977,29.0,79.57143,78955734000000.0,0.006503,1.0625,,,
75.0,22.0,7839.0,158720.0,4000.0,0.51026917,103.0,82.5,608355350000.0,0.006003,0.5,,,
84.0,2.0,8839.0,178720.0,4500.0,0.50910735,104.0,84.888885,226579250000000.0,0.005503,0.5,,,
96.0,16.0,9926.0,198720.0,5000.0,0.50372756,22.0,78.6,181444700000000.0,0.005003,0.5,,,
100.0,93.0,11073.0,218720.0,5500.0,0.49670368,102.0,80.72727,999035830000000.0,0.004503,0.5,,,
106.0,31.0,12172.0,238720.0,6000.0,0.4929346,110.0,83.166664,2537856700000000.0,0.004003,0.5,,,
111.0,42.0,13314.0,258720.0,6500.0,0.4882079,108.0,85.07692,3523022000000.0,0.003503,0.5,,,
115.0,68.0,14480.0,278720.0,7000.0,0.4834254,110.0,86.85714,2041880700000000.0,0.003003,0.5,,,
120.0,5.0,15576.0,298720.0,7500.0,0.48151,107.0,88.2,3972805000000.0,0.002503,0.5,,,
124.0,40.0,16672.0,318720.0,8000.0,0.47984645,114.0,89.8125,3898352600000000.0,0.002003,0.5,,,
128.0,58.0,17648.0,338720.0,8500.0,0.48164096,116.0,91.35294,1069118560000000.0,0.001503,0.5,,,
132.0,63.0,18338.0,358720.0,9000.0,0.49078417,129.0,93.44444,4983250300000000.0,0.001003,0.5,,,
136.0,103.0,18978.0,378720.0,9500.0,0.5005796,117.0,94.68421,6369270600000000.0,0.000503,0.5,,,
141.0,2.0,19436.0,398720.0,10000.0,0.51450914,119.0,95.9,4877806000000000.0,3e-06,0.5,,,
