epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
14.0,6.0,865.0,18720.0,500.0,0.5780347,13.0,13.0,45863.55,0.009503,4.4375,,,
24.0,85.0,1797.0,38720.0,1000.0,0.55648303,65.0,39.0,105830.4,0.009003,3.875,,,
34.0,10.0,2690.0,58720.0,1500.0,0.5576208,29.0,35.666668,14612105.0,0.008503,3.3125,,,
43.0,17.0,3576.0,78720.0,2000.0,0.5592841,29.0,34.0,154585840.0,0.008003,2.75,,,
55.0,36.0,4499.0,98720.0,2500.0,0.555679,80.0,43.2,221459570.0,0.007503,2.1875,,,
61.0,29.0,5401.0,118720.0,3000.0,0.5554527,80.0,49.333332,279400960.0,0.007003,1.625,,,
71.0,3.0,6318.0,138720.0,3500.0,0.5539728,57.0,50.42857,40899956.0,0.006503,1.0625,,,
84.0,76.0,7229.0,158720.0,4000.0,0.5533269,99.0,56.5,4879476.0,0.006003,0.5,,,
96.0,27.0,8140.0,178720.0,4500.0,0.55282557,39.0,54.555557,270123800.0,0.005503,0.5,,,
106.0,38.0,9087.0,198720.0,5000.0,0.5502366,94.0,58.5,1535550600.0,0.005003,0.5,,,
111.0,28.0,10056.0,218720.0,5500.0,0.54693717,96.0,61.909092,110110504.0,0.004503,0.5,,,
129.0,13.0,11160.0,238720.0,6000.0,0.53763443,16.0,58.083332,3929618.5,0.004003,0.5,,,
155.0,14.0,12318.0,258720.0,6500.0,0.5276831,25.0,55.53846,1313276800.0,0.003503,0.5,,,
159.0,103.0,13539.0,278720.0,7000.0,0.5170249,105.0,59.07143,929975900.0,0.003003,0.5,,,
164.0,36.0,14773.0,298720.0,7500.0,0.5076829,145.0,64.8,169353040.0,0.002503,0.5,,,
166.0,146.0,15954.0,318720.0,8000.0,0.50144166,200.0,73.25,35331496.0,0.002003,0.5,,,
169.0,46.0,17174.0,338720.0,8500.0,0.4949342,200.0,80.70588,18927822.0,0.001503,0.5,,,
171.0,146.0,17998.0,358720.0,9000.0,0.50005555,200.0,87.333336,1422618.5,0.001003,0.5,,,
174.0,46.0,18702.0,378720.0,9500.0,0.50796705,200.0,93.26316,988771.1,0.000503,0.5,,,
176.0,146.0,19325.0,398720.0,10000.0,0.5174644,200.0,98.6,122763530.0,3e-06,0.5,,,
