epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
7.0,51.0,330.0,18720.0,500.0,1.5151515,114.0,114.0,3500.1816,0.009503,4.4375,,,
9.0,151.0,561.0,38720.0,1000.0,1.7825311,200.0,157.0,117091.12,0.009003,3.875,,,
12.0,183.0,791.0,58720.0,1500.0,1.8963338,68.0,127.333336,2555.4233,0.008503,3.3125,,,
17.0,157.0,1026.0,78720.0,2000.0,1.9493177,61.0,110.75,11417.58,0.008003,2.75,,,
34.0,13.0,1264.0,98720.0,2500.0,1.977848,34.0,95.4,554219.0,0.007503,2.1875,,,
44.0,79.0,1501.0,118720.0,3000.0,1.9986676,77.0,92.333336,113074890.0,0.007003,1.625,,,
51.0,34.0,1729.0,138720.0,3500.0,2.0242915,108.0,94.57143,4599555000.0,0.006503,1.0625,,,
54.0,105.0,1964.0,158720.0,4000.0,2.03666,151.0,101.625,1047993400000.0,0.006003,0.5,,,
58.0,99.0,2198.0,178720.0,4500.0,2.0473158,132.0,105.0,9822945000000.0,0.005503,0.5,,,
61.0,157.0,2418.0,198720.0,5000.0,2.0678246,151.0,109.6,1106438100000.0,0.005003,0.5,,,
65.0,53.0,2662.0,218720.0,5500.0,2.0661156,149.0,113.181816,282199160000.0,0.004503,0.5,,,
68.0,114.0,2901.0,238720.0,6000.0,2.0682523,144.0,115.75,1282678300000.0,0.004003,0.5,,,
72.0,67.0,3148.0,258720.0,6500.0,2.0648031,150.0,118.38461,1369971800000000.0,0.003503,0.5,,,
75.0,115.0,3398.0,278720.0,7000.0,2.0600352,154.0,120.92857,23231466000000.0,0.003003,0.5,,,
79.0,66.0,3645.0,298720.0,7500.0,2.0576131,134.0,121.8,543925730000000.0,0.002503,0.5,,,
83.0,13.0,3889.0,318720.0,8000.0,2.057084,126.0,122.0625,2486049700000000.0,0.002003,0.5,,,
86.0,94.0,4126.0,338720.0,8500.0,2.0601068,145.0,123.411766,3056647200000000.0,0.001503,0.5,,,
90.0,28.0,4371.0,358720.0,9000.0,2.0590253,142.0,124.44444,5446709500000.0,0.001003,0.5,,,
93.0,109.0,4613.0,378720.0,9500.0,2.0593975,139.0,125.210526,3055534200000.0,0.000503,0.5,,,
97.0,36.0,4846.0,398720.0,10000.0,2.0635576,148.0,126.35,3940156800000000.0,3e-06,0.5,,,
