epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
11.0,131.0,863.0,18720.0,500.0,0.57937425,142.0,142.0,507.18637,0.009503,4.4375,,,
20.0,16.0,1785.0,38720.0,1000.0,0.5602241,35.0,88.5,114938.8,0.009003,3.875,,,
29.0,12.0,2690.0,58720.0,1500.0,0.5576208,104.0,93.666664,795256.6,0.008503,3.3125,,,
33.0,17.0,3572.0,78720.0,2000.0,0.5599104,100.0,95.25,599992800.0,0.008003,2.75,,,
37.0,76.0,4501.0,98720.0,2500.0,0.55543214,113.0,98.8,927677100.0,0.007503,2.1875,,,
40.0,111.0,5417.0,118720.0,3000.0,0.5538121,157.0,108.5,1629410700.0,0.007003,1.625,,,
44.0,94.0,6340.0,138720.0,3500.0,0.5520505,88.0,105.57143,3812817400.0,0.006503,1.0625,,,
51.0,13.0,7260.0,158720.0,4000.0,0.5509642,42.0,97.625,11053193000.0,0.006003,0.5,,,
56.0,10.0,8192.0,178720.0,4500.0,0.5493164,130.0,101.22222,1554374500.0,0.005503,0.5,,,
61.0,26.0,9126.0,198720.0,5000.0,0.5478852,49.0,96.0,1664904800.0,0.005003,0.5,,,
65.0,20.0,10110.0,218720.0,5500.0,0.5440158,118.0,98.0,29044190000.0,0.004503,0.5,,,
69.0,16.0,11199.0,238720.0,6000.0,0.53576213,114.0,99.333336,25581762.0,0.004003,0.5,,,
73.0,121.0,12351.0,258720.0,6500.0,0.5262732,76.0,97.53846,39911363000.0,0.003503,0.5,,,
78.0,36.0,13569.0,278720.0,7000.0,0.5158818,91.0,97.07143,54045233000.0,0.003003,0.5,,,
82.0,88.0,14805.0,298720.0,7500.0,0.5065856,75.0,95.6,39167730.0,0.002503,0.5,,,
86.0,72.0,16002.0,318720.0,8000.0,0.4999375,132.0,97.875,58948330000.0,0.002003,0.5,,,
90.0,33.0,17234.0,338720.0,8500.0,0.4932111,140.0,100.35294,21075974000.0,0.001503,0.5,,,
93.0,105.0,18037.0,358720.0,9000.0,0.49897432,144.0,102.77778,35149943000.0,0.001003,0.5,,,
97.0,51.0,18737.0,378720.0,9500.0,0.5070182,150.0,105.26316,50551890000.0,0.000503,0.5,,,
100.0,107.0,19345.0,398720.0,10000.0,0.51692945,139.0,106.95,43472840.0,3e-06,0.5,,,
