epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
17.0,30.0,336.0,18720.0,500.0,1.4880953,12.0,12.0,201090060000.0,0.009503,4.4375,,,
22.0,50.0,570.0,38720.0,1000.0,1.754386,140.0,76.0,5285436500000.0,0.009003,3.875,,,
30.0,3.0,813.0,58720.0,1500.0,1.8450185,41.0,64.333336,378365180000000.0,0.008503,3.3125,,,
50.0,16.0,1062.0,78720.0,2000.0,1.8832392,24.0,54.25,76032710000000.0,0.008003,2.75,,,
63.0,64.0,1312.0,98720.0,2500.0,1.9054878,56.0,54.6,922047350000.0,0.007503,2.1875,,,
76.0,25.0,1559.0,118720.0,3000.0,1.9243104,102.0,62.5,166945710000000.0,0.007003,1.625,,,
81.0,35.0,1797.0,138720.0,3500.0,1.9476906,188.0,80.42857,10858575000000.0,0.006503,1.0625,,,
104.0,168.0,2036.0,158720.0,4000.0,1.9646366,61.0,78.0,45778400000000.0,0.006003,0.5,,,
107.0,68.0,2277.0,178720.0,4500.0,1.9762846,200.0,91.55556,815776000000000.0,0.005503,0.5,,,
109.0,168.0,2513.0,198720.0,5000.0,1.9896538,200.0,102.4,2347593000000000.0,0.005003,0.5,,,
112.0,68.0,2751.0,218720.0,5500.0,1.999273,200.0,111.27273,640592100000000.0,0.004503,0.5,,,
114.0,168.0,2991.0,238720.0,6000.0,2.0060182,200.0,118.666664,1.2657989e+16,0.004003,0.5,,,
117.0,68.0,3234.0,258720.0,6500.0,2.0098948,200.0,124.92308,3.5716254e+16,0.003503,0.5,,,
119.0,168.0,3475.0,278720.0,7000.0,2.0143886,200.0,130.28572,3.3054983e+16,0.003003,0.5,,,
122.0,68.0,3716.0,298720.0,7500.0,2.0182993,200.0,134.93333,6246825000000000.0,0.002503,0.5,,,
124.0,168.0,3959.0,318720.0,8000.0,2.0207124,200.0,139.0,1.5566875e+17,0.002003,0.5,,,
127.0,68.0,4197.0,338720.0,8500.0,2.0252562,200.0,142.58824,1.36852665e+17,0.001503,0.5,,,
129.0,168.0,4439.0,358720.0,9000.0,2.0274837,200.0,145.77777,7350303400000000.0,0.001003,0.5,,,
132.0,68.0,4683.0,378720.0,9500.0,2.028614,200.0,148.63158,6926498600000000.0,0.000503,0.5,,,
134.0,168.0,4883.0,398720.0,10000.0,2.0479214,200.0,151.2,5710319000000000.0,3e-06,0.5,,,
