epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
10.0,96.0,933.0,18720.0,500.0,0.53590566,148.0,148.0,9794.138,0.009503,4.4375,,,
21.0,32.0,1914.0,38720.0,1000.0,0.52246606,139.0,143.5,348098430.0,0.009003,3.875,,,
34.0,4.0,2896.0,58720.0,1500.0,0.5179558,9.0,98.666664,339025500000.0,0.008503,3.3125,,,
54.0,74.0,3911.0,78720.0,2000.0,0.51137817,124.0,105.0,1041973640000.0,0.008003,2.75,,,
59.0,30.0,4899.0,98720.0,2500.0,0.5103082,137.0,111.4,52100562000000.0,0.007503,2.1875,,,
68.0,27.0,5861.0,118720.0,3000.0,0.51185805,60.0,102.833336,156391620000000.0,0.007003,1.625,,,
76.0,97.0,6850.0,138720.0,3500.0,0.5109489,54.0,95.85714,1412042500000.0,0.006503,1.0625,,,
82.0,35.0,7854.0,158720.0,4000.0,0.5092946,70.0,92.625,419904320000000.0,0.006003,0.5,,,
91.0,14.0,8858.0,178720.0,4500.0,0.50801533,37.0,86.44444,1843079300000000.0,0.005503,0.5,,,
105.0,10.0,9963.0,198720.0,5000.0,0.50185686,23.0,80.1,2378644400000000.0,0.005003,0.5,,,
117.0,27.0,11102.0,218720.0,5500.0,0.49540624,22.0,74.818184,3986342200000000.0,0.004503,0.5,,,
122.0,61.0,12206.0,238720.0,6000.0,0.49156153,112.0,77.916664,1.6429693e+16,0.004003,0.5,,,
127.0,105.0,13440.0,258720.0,6500.0,0.48363096,105.0,80.0,5517021300000000.0,0.003503,0.5,,,
132.0,82.0,14678.0,278720.0,7000.0,0.4769042,108.0,82.0,4883741000000000.0,0.003003,0.5,,,
138.0,14.0,15871.0,298720.0,7500.0,0.47256002,114.0,84.13333,1.5044955e+16,0.002503,0.5,,,
144.0,99.0,17107.0,318720.0,8000.0,0.4676448,37.0,81.1875,1.5262736e+16,0.002003,0.5,,,
149.0,68.0,17946.0,338720.0,8500.0,0.47364315,91.0,81.76471,30722279000000.0,0.001503,0.5,,,
154.0,19.0,18629.0,358720.0,9000.0,0.48311773,116.0,83.666664,2.5144923e+16,0.001003,0.5,,,
158.0,96.0,19241.0,378720.0,9500.0,0.49373734,110.0,85.052635,2.4756595e+16,0.000503,0.5,,,
163.0,54.0,19594.0,398720.0,10000.0,0.5103603,102.0,85.9,2.8151282e+16,3e-06,0.5,,,
