epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
11.0,170.0,862.0,18720.0,500.0,0.5800464,49.0,49.0,335.55493,0.009503,4.4375,,,
16.0,86.0,1763.0,38720.0,1000.0,0.56721497,73.0,61.0,163659.4,0.009003,3.875,,,
22.0,32.0,2657.0,58720.0,1500.0,0.56454647,117.0,79.666664,9852168.0,0.008503,3.3125,,,
26.0,36.0,3541.0,78720.0,2000.0,0.5648122,113.0,88.0,143070000.0,0.008003,2.75,,,
29.0,134.0,4453.0,98720.0,2500.0,0.56141925,99.0,90.2,240550220.0,0.007503,2.1875,,,
33.0,59.0,5338.0,118720.0,3000.0,0.56200826,142.0,98.833336,2027588200.0,0.007003,1.625,,,
36.0,94.0,6246.0,138720.0,3500.0,0.56035864,153.0,106.57143,1647882900.0,0.006503,1.0625,,,
40.0,19.0,7137.0,158720.0,4000.0,0.56045955,150.0,112.0,6309532.5,0.006003,0.5,,,
43.0,71.0,8049.0,178720.0,4500.0,0.55907565,153.0,116.55556,7796997000.0,0.005503,0.5,,,
46.0,111.0,8962.0,198720.0,5000.0,0.55791116,155.0,120.4,951748300.0,0.005003,0.5,,,
50.0,1.0,9866.0,218720.0,5500.0,0.5574701,151.0,123.181816,9689766.0,0.004503,0.5,,,
53.0,72.0,10876.0,238720.0,6000.0,0.5516734,151.0,125.5,23069401000.0,0.004003,0.5,,,
57.0,7.0,12022.0,258720.0,6500.0,0.5406754,133.0,126.07692,16914869000.0,0.003503,0.5,,,
60.0,55.0,13228.0,278720.0,7000.0,0.5291805,151.0,127.85714,12107330.0,0.003003,0.5,,,
63.0,136.0,14446.0,298720.0,7500.0,0.5191749,137.0,128.46666,7800235.0,0.002503,0.5,,,
67.0,66.0,15644.0,318720.0,8000.0,0.51137817,144.0,129.4375,111465900000.0,0.002003,0.5,,,
71.0,8.0,16851.0,338720.0,8500.0,0.5044211,144.0,130.29411,9313073000.0,0.001503,0.5,,,
74.0,67.0,17816.0,358720.0,9000.0,0.5051639,154.0,131.61111,20763732.0,0.001003,0.5,,,
77.0,126.0,18521.0,378720.0,9500.0,0.5129313,140.0,132.05263,39213146000.0,0.000503,0.5,,,
81.0,32.0,19207.0,398720.0,10000.0,0.52064353,152.0,133.05,107042380000.0,3e-06,0.5,,,
