epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
260.0,21.0,116.0,1872.0,10000.0,86.206894,27.0,27.0,42.976624,0.01,0.05,,,
351.0,115.0,291.0,3750.0,20000.0,68.72852,200.0,113.5,0.18178684,0.01,0.05,,,
439.0,172.0,467.0,5622.0,30000.0,64.23983,200.0,142.33333,0.2637017,0.01,0.05,,,
489.0,172.0,641.0,7500.0,40000.0,62.402496,200.0,156.75,0.1714942,0.01,0.05,,,
539.0,172.0,820.0,9372.0,50000.0,60.97561,200.0,165.4,0.1387245,0.01,0.05,,,
590.0,158.0,997.0,11250.0,60000.0,60.180542,200.0,171.16667,0.05064945,0.01,0.05,,,
713.0,89.0,1160.0,13122.0,70000.0,60.344826,200.0,175.28572,0.32989648,0.01,0.05,,,
763.0,89.0,1342.0,15000.0,80000.0,59.61252,200.0,178.375,0.03754535,0.01,0.05,,,
815.0,59.0,1523.0,16872.0,90000.0,59.093895,200.0,180.77777,0.08953878,0.01,0.05,,,
867.0,17.0,1691.0,18750.0,100000.0,59.136604,200.0,182.7,287.60608,0.01,0.05,,,
