epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
162.0,151.0,955.0,810.0,10000.0,10.471204,121.0,121.0,23.821522,0.002,,0.0055,0.5702507,
226.0,117.0,1909.0,1130.0,20000.0,10.476689,200.0,160.5,30.714117,0.002,,0.001,0.53993154,
287.0,22.0,2893.0,1435.0,30000.0,10.369859,89.0,136.66667,16.371147,0.002,,0.001,0.5395009,
354.0,40.0,3881.0,1770.0,40000.0,10.306622,192.0,150.5,27.777868,0.002,,0.001,0.5365026,
409.0,43.0,4876.0,2045.0,50000.0,10.254307,200.0,160.4,30.176666,0.002,,0.001,0.5341374,
471.0,83.0,5865.0,2355.0,60000.0,10.230179,100.0,150.33333,21.545002,0.002,,0.001,0.53934735,
562.0,132.0,6835.0,2810.0,70000.0,10.241405,200.0,157.42857,30.907572,0.002,,0.001,0.49754202,
613.0,165.0,7779.0,3065.0,80000.0,10.284099,200.0,162.75,30.296364,0.002,,0.001,0.512721,
664.0,99.0,8749.0,3320.0,90000.0,10.28689,200.0,166.88889,32.422688,0.002,,0.001,0.52770793,
715.0,161.0,9675.0,3575.0,100000.0,10.335917,200.0,170.2,30.255905,0.002,,0.001,0.5127053,
