epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
145.0,109.0,971.0,725.0,10000.0,10.298661,186.0,186.0,0.23594825,0.002,,0.0055,0.6109805,
202.0,135.0,1950.0,1010.0,20000.0,10.256411,187.0,186.5,-1.1028682,0.002,,0.001,0.5839467,
255.0,139.0,2936.0,1275.0,30000.0,10.217983,174.0,182.33333,-0.37829614,0.002,,0.001,0.58173895,
311.0,11.0,3907.0,1555.0,40000.0,10.238034,200.0,186.75,0.8269442,0.002,,0.001,0.5599225,
367.0,108.0,4909.0,1835.0,50000.0,10.185374,200.0,189.4,-0.16926125,0.002,,0.001,0.569419,
420.0,180.0,5871.0,2100.0,60000.0,10.219724,200.0,191.16667,-0.75986123,0.002,,0.001,0.58385307,
473.0,101.0,6822.0,2365.0,70000.0,10.260921,200.0,192.42857,0.5254614,0.002,,0.001,0.54746515,
525.0,148.0,7771.0,2625.0,80000.0,10.294685,200.0,193.375,0.056112066,0.002,,0.001,0.5316277,
575.0,158.0,8726.0,2875.0,90000.0,10.314004,200.0,194.11111,0.12391973,0.002,,0.001,0.53571177,
626.0,52.0,9672.0,3130.0,100000.0,10.339123,200.0,194.7,0.32419598,0.002,,0.001,0.5519629,
