epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
149.0,89.0,994.0,745.0,10000.0,10.060362,189.0,189.0,-1.0548927,0.002,,0.0055,0.5700823,
206.0,196.0,1943.0,1030.0,20000.0,10.293361,200.0,194.5,-0.26519638,0.002,,0.001,0.57167864,
261.0,86.0,2916.0,1305.0,30000.0,10.288066,200.0,196.33333,-0.62937415,0.002,,0.001,0.5502648,
312.0,181.0,3888.0,1560.0,40000.0,10.288066,200.0,197.25,-0.69829607,0.002,,0.001,0.5425064,
363.0,97.0,4869.0,1815.0,50000.0,10.269049,200.0,197.8,0.8404707,0.002,,0.001,0.5363542,
414.0,154.0,5837.0,2070.0,60000.0,10.279253,200.0,198.16667,0.76898587,0.002,,0.001,0.53042144,
465.0,199.0,6817.0,2325.0,70000.0,10.268447,200.0,198.42857,0.9554101,0.002,,0.001,0.5418163,
516.0,119.0,7758.0,2580.0,80000.0,10.311936,200.0,198.625,0.0268876,0.002,,0.001,0.5259223,
566.0,176.0,8715.0,2830.0,90000.0,10.327023,200.0,198.77777,0.09109499,0.002,,0.001,0.5479519,
616.0,176.0,9650.0,3080.0,100000.0,10.362695,200.0,198.9,-0.23843709,0.002,,0.001,0.5275049,
