epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
139.0,145.0,945.0,695.0,10000.0,10.58201,143.0,143.0,-0.165978,0.002,,0.0055,0.61610204,
197.0,98.0,1911.0,985.0,20000.0,10.465725,137.0,140.0,-0.1467595,0.002,,0.001,0.5565196,
261.0,47.0,2880.0,1305.0,30000.0,10.416667,32.0,104.0,0.21986006,0.002,,0.001,0.46490732,
319.0,62.0,3860.0,1595.0,40000.0,10.362695,200.0,128.0,0.4915834,0.002,,0.001,0.55286515,
377.0,47.0,4841.0,1885.0,50000.0,10.3284445,169.0,136.2,-0.024228182,0.002,,0.001,0.55005634,
430.0,186.0,5809.0,2150.0,60000.0,10.3288,200.0,146.83333,0.18638557,0.002,,0.001,0.52926785,
481.0,173.0,6783.0,2405.0,70000.0,10.319918,200.0,154.42857,-0.13952112,0.002,,0.001,0.55429995,
532.0,82.0,7736.0,2660.0,80000.0,10.341262,184.0,158.125,0.3482391,0.002,,0.001,0.5474451,
584.0,133.0,8682.0,2920.0,90000.0,10.366275,184.0,161.0,0.41167223,0.002,,0.001,0.55645394,
641.0,163.0,9636.0,3205.0,100000.0,10.37775,200.0,164.9,-0.30410448,0.002,,0.001,0.5591055,
