epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
136.0,128.0,36312.0,398720.0,10000.0,0.27539104,126.0,126.0,1.293954e+17,3e-06,0.5,,,
742.0,1.0,71441.0,798720.0,20000.0,0.27995127,9.0,67.5,7.094838e+21,-0.009997,0.5,,,
1815.0,3.0,96148.0,1198720.0,30000.0,0.31201896,9.0,48.0,2.7222716e+23,-0.019997,0.5,,,
