epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005,1.0,,,
430.0,9.0,1769.0,12000.0,10000.0,5.652911,22.0,22.0,0.38607422,0.005,0.05,,,
879.0,20.0,5231.0,24000.0,20000.0,3.8233607,20.0,21.0,12659.814,0.005,0.05,,,
1273.0,18.0,8775.0,36000.0,30000.0,3.4188035,18.0,20.0,1.7939934,0.005,0.05,,,
1693.0,22.0,12396.0,48000.0,40000.0,3.2268474,22.0,20.5,18073.31,0.005,0.05,,,
1985.0,2.0,16041.0,60000.0,50000.0,3.1170127,200.0,56.4,1262.6749,0.005,0.05,,,
2053.0,129.0,19678.0,72000.0,60000.0,3.0490904,200.0,80.333336,0.03515166,0.005,0.05,,,
2105.0,102.0,23316.0,84000.0,70000.0,3.0022302,200.0,97.42857,0.06308807,0.005,0.05,,,
2157.0,137.0,26978.0,96000.0,80000.0,2.9653792,200.0,110.25,0.07212221,0.005,0.05,,,
2210.0,147.0,30651.0,108000.0,90000.0,2.9362826,10.0,99.111115,0.007893473,0.005,0.05,,,
2274.0,140.0,34086.0,120000.0,100000.0,2.9337559,200.0,109.2,0.32845917,0.005,0.05,,,
