epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1,1.0,,,
273.0,11.0,1315.0,12000.0,10000.0,7.6045628,11.0,11.0,0.3838028,0.1,0.05,,,
1004.0,4.0,3964.0,24000.0,20000.0,5.0454087,15.0,13.0,14.3869705,0.1,0.05,,,
1621.0,8.0,6597.0,36000.0,30000.0,4.5475216,20.0,15.333333,1.5440761,0.1,0.05,,,
2136.0,2.0,9353.0,48000.0,40000.0,4.276703,15.0,15.25,842.0296,0.1,0.05,,,
2710.0,6.0,11996.0,60000.0,50000.0,4.168056,15.0,15.2,15.3414545,0.1,0.05,,,
3607.0,5.0,14648.0,72000.0,60000.0,4.0961223,14.0,15.0,1.1293873,0.1,0.05,,,
4426.0,8.0,17283.0,84000.0,70000.0,4.050223,16.0,15.142858,1.252761,0.1,0.05,,,
5098.0,10.0,19997.0,96000.0,80000.0,4.0006,11.0,14.625,1.5633016,0.1,0.05,,,
5896.0,12.0,22657.0,108000.0,90000.0,3.9722824,14.0,14.555555,4.6483636,0.1,0.05,,,
6629.0,4.0,25329.0,120000.0,100000.0,3.9480438,11.0,14.2,43.446587,0.1,0.05,,,
