epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0005,1.0,,,
650.0,3.0,1803.0,12000.0,10000.0,5.546312,11.0,11.0,140.25905,0.0005,0.05,,,
1392.0,11.0,5274.0,24000.0,20000.0,3.7921882,19.0,15.0,0.010316581,0.0005,0.05,,,
1840.0,30.0,8863.0,36000.0,30000.0,3.3848584,58.0,29.333334,0.0028953701,0.0005,0.05,,,
2622.0,4.0,12466.0,48000.0,40000.0,3.2087278,15.0,25.75,3046.4468,0.0005,0.05,,,
3310.0,53.0,16121.0,60000.0,50000.0,3.1015446,51.0,30.8,0.013921143,0.0005,0.05,,,
3435.0,35.0,19777.0,72000.0,60000.0,3.033827,73.0,37.833332,1.3073088,0.0005,0.05,,,
4206.0,2.0,23429.0,84000.0,70000.0,2.9877503,16.0,34.714287,4514.3276,0.0005,0.05,,,
4795.0,21.0,27045.0,96000.0,80000.0,2.9580328,21.0,33.0,5544.5664,0.0005,0.05,,,
5301.0,21.0,30680.0,108000.0,90000.0,2.9335072,21.0,31.666666,6155.78,0.0005,0.05,,,
5833.0,16.0,34131.0,120000.0,100000.0,2.9298878,16.0,30.1,6920.161,0.0005,0.05,,,
