epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005,1.0,,,
412.0,9.0,1846.0,12000.0,10000.0,5.417118,74.0,74.0,2.6910672,0.005,0.05,,,
839.0,12.0,5334.0,24000.0,20000.0,3.7495313,12.0,43.0,29832.758,0.005,0.05,,,
1418.0,19.0,8854.0,36000.0,30000.0,3.388299,16.0,34.0,5.3360224,0.005,0.05,,,
1899.0,10.0,12506.0,48000.0,40000.0,3.1984646,14.0,29.0,3.2837842,0.005,0.05,,,
2378.0,11.0,16123.0,60000.0,50000.0,3.1011598,21.0,27.4,0.41402668,0.005,0.05,,,
2828.0,36.0,19724.0,72000.0,60000.0,3.0419793,32.0,28.166666,5.920474,0.005,0.05,,,
3239.0,2.0,23354.0,84000.0,70000.0,2.9973452,12.0,25.857143,168130.61,0.005,0.05,,,
3712.0,10.0,26970.0,96000.0,80000.0,2.9662588,17.0,24.75,2.172664,0.005,0.05,,,
4207.0,11.0,30574.0,108000.0,90000.0,2.9436777,13.0,23.444445,9.375111,0.005,0.05,,,
4698.0,21.0,34066.0,120000.0,100000.0,2.9354782,15.0,22.6,29.108461,0.005,0.05,,,
