epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.05,1.0,,,
234.0,158.0,1265.0,12000.0,10000.0,7.9051385,200.0,200.0,0.52307814,0.05,0.05,,,
319.0,1.0,3939.0,24000.0,20000.0,5.0774307,39.0,119.5,6746.569,0.05,0.05,,,
503.0,73.0,6628.0,36000.0,30000.0,4.5262523,200.0,146.33333,0.7475076,0.05,0.05,,,
795.0,187.0,9369.0,48000.0,40000.0,4.269399,200.0,159.75,99.418236,0.05,0.05,,,
986.0,68.0,12044.0,60000.0,50000.0,4.151445,200.0,167.8,2.4495082,0.05,0.05,,,
1185.0,71.0,14695.0,72000.0,60000.0,4.0830216,154.0,165.5,2.4058418,0.05,0.05,,,
1350.0,114.0,17365.0,84000.0,70000.0,4.031097,104.0,156.71428,0.5406761,0.05,0.05,,,
1508.0,56.0,20066.0,96000.0,80000.0,3.9868433,68.0,145.625,0.28485808,0.05,0.05,,,
1662.0,60.0,22712.0,108000.0,90000.0,3.962663,184.0,149.88889,0.2354804,0.05,0.05,,,
1749.0,67.0,25356.0,120000.0,100000.0,3.9438398,200.0,154.9,0.2889677,0.05,0.05,,,
