epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.001,1.0,,,
544.0,7.0,1751.0,12000.0,10000.0,5.7110224,19.0,19.0,0.06852378,0.001,0.05,,,
1145.0,9.0,5242.0,24000.0,20000.0,3.8153377,10.0,14.5,0.023269555,0.001,0.05,,,
1681.0,8.0,8795.0,36000.0,30000.0,3.411029,20.0,16.333334,0.029397666,0.001,0.05,,,
2215.0,3.0,12418.0,48000.0,40000.0,3.2211306,16.0,16.25,3087.9958,0.001,0.05,,,
2700.0,12.0,16032.0,60000.0,50000.0,3.1187625,14.0,15.8,0.37666565,0.001,0.05,,,
3328.0,1.0,19608.0,72000.0,60000.0,3.0599756,18.0,16.166666,4423.011,0.001,0.05,,,
3895.0,2.0,23214.0,84000.0,70000.0,3.0154216,16.0,16.142857,5007.247,0.001,0.05,,,
4475.0,13.0,26837.0,96000.0,80000.0,2.9809592,13.0,15.75,0.06881522,0.001,0.05,,,
5048.0,2.0,30494.0,108000.0,90000.0,2.9514003,20.0,16.222221,5273.8325,0.001,0.05,,,
5619.0,10.0,34019.0,120000.0,100000.0,2.9395337,15.0,16.1,0.7491208,0.001,0.05,,,
